╢m┬эел░╧,ецйЎ╝╨к║,дgжa░╧мqжь╕mй╬л╪кл░╧к∙╡P,дgжa▓╛┬р┴`н▒┐nендшд╜д╪,│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬д└░╧,лD│гелдgжaи╧е╬╜sйw,ецйЎж~дыдщ,ецйЎ╡з┤╔╝╞,▓╛┬р╝hж╕,┴`╝╙╝h╝╞,л╪кллм║A,еDнnе╬│~,еDнnл╪зў,л╪┐vз╣жиж~ды,л╪кл▓╛┬р┴`н▒┐nендшд╜д╪,л╪кл▓{кpоцз╜-й╨,л╪кл▓{кpоцз╜-╞U,л╪кл▓{кpоцз╜-╜├,л╪кл▓{кpоцз╜-╣j╢б,ж│╡L║▐▓z▓╒┬┤,┴`╗∙д╕,│ц╗∙иCендшд╜д╪,иожь├■зO,иожь▓╛┬р┴`н▒┐nендшд╜д╪,иожь┴`╗∙д╕,│╞╡∙,╜s╕╣
д╗╕}╢m,дgжa,ж╦дl╕}мq631~660жa╕╣,1798.5,,д@пы╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1007160,560,,0.0,0,,RPRNMLNKLHMFFBQ09DA
ддоH╢m,дgжa,д¤╖▌мq121~150жa╕╣,7039.6,,пSйw╣A╖~░╧,╣Aкке╬жa,1060101,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,68000000,9660,,0.0,0,зt╝Wл╪й╬е╝╡n░Oл╪клбC,RPPNMLSJLHMFFDQ76CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,115.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,171.66,5,2,5,ж│,╡L,5800000,33788,,0.0,0,,RPVNMLLLKHMFFDQ76CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,115.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,170.69,5,2,4,ж│,╡L,6180000,36206,,0.0,0,,RPWNMLLLKHMFFDQ86CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,114.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,171.22,5,2,5,ж│,╡L,6220000,36328,,0.0,0,,RPXNMLLLKHMFFDQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m┬╫жмз°жnжм╕Ї1~30╕╣,103.98,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060101,дgжa2л╪кл1иожь0,е■,е|╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одgе[▒j┐j│y,0830201,197.84,4,2,2,ж│,╡L,2700000,13647,,0.0,0,,RPTNMLRKKHMFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mжшжwз°е┴╖╦╕Ї5л╤181~210╕╣,115.86,жэ,,,1060101,дgжa3л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050628,214.6,5,2,5,ж│,╡L,12600000,58714,,0.0,0,,RPWNMLRKKHMFFCQ27CA
е┴╢п╢m,дgжa,┐│лnмq91~120жa╕╣,17.51,жэ,,,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,78343,4474,,0.0,0,(е]зt)д╜ж@│]мIлOпdжaдзецйЎбC╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбC,RPPNMLSKKHMFFCQ66CA
дjкL┬э,дgжa,┤Єдlмq481~510жa╕╣,2000.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2700000,1350,,0.0,0,,RPQNMLSKKHMFFCQ76CA
╖s┤ф╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д╖s┤ф╢m╖╦е_з°5╛F╖╦е_╕Ї31~60╕╣,72.64,,╢mз°░╧,дA║╪л╪┐vе╬жa,1051201,дgжa2л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0710504,117.11,3,2,2,ж│,╡L,600000,5123,,0.0,0,йnз╠┐╦д═пSоэ├ЎлY╢бдзецйЎбC,RPRNMLKLKHMFFCQ78CA
╖s┤ф╢m,дgжa,дым▄╝цмqды╝цдpмq151~180жa╕╣,2822.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7000000,2481,,0.0,0,е]мAжaдWе╝╡n░Oл╪клд╬│]мI,RPSNMLKLKHMFFCQ88CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдпйMдG╕Ї121~150╕╣,5.87,жэ,,,1060101,дgжa1л╪кл1иожь0,е|╝h,дK╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0950828,25.04,1,1,1,ж│,ж│,450000,17971,,0.0,0,,RPQNMLRKKHMFFBQ56CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlел?╡цоH105дз17л╤1~30╕╣,64.0,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0691023,73.36,3,2,2,ж│,╡L,2650000,36123,,0.0,0,,RPSNMLRKKHMFFBQ76CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдд┐│╕Ї61~90╕╣,12.09,жэ,,,1060101,дgжa1л╪кл1иожь0,д╗╝h,дQе|╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0850815,98.39,3,2,2,ж│,╡L,2400000,24393,,0.0,0,,RPQNMLSKKHMFFBQ66CA
ем│U┬э,дgжa,╖sлnмq91~120жa╕╣,1137.32,,пSйw▒Mе╬░╧,ец│qе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,705138,620,,0.0,0,иє─│╗∙┴╩,RPRNMLSKKHMFFBQ76CA
ем│U┬э,дgжa,╖sлnмq511~540жa╕╣,168.06,,пSйw▒Mе╬░╧,ец│qе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,107558,640,,0.0,0,иє─│╗∙┴╩,RPTNMLSKKHMFFBQ96CA
╕qж╦╢m,дgжa,Чfдl╝dмq1~30жa╕╣,7.89,,пSйw▒Mе╬░╧,ец│qе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,29193,3700,,0.0,0,иє─│╗∙┴╩,RPUNMLSKKHMFFBQ07CA
д╗╕}╢m,дgжa,лс▒Yдsмq▒Yдsдpмq631~660жa╕╣,4630.2,,пSйw╣A╖~░╧,╣Aкке╬жa,1051101,дgжa5л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2500000,540,,0.0,0,┐╦д═пSоэ├ЎлY╢бдзецйЎбC,RPQNMLKLKHMFFBQ58CA
ем│U┬э,дgжa,л╪┐│мq541~570жa╕╣,101.08,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,50000,495,,0.0,0,╢R╜ц┬∙дшм░┐╦▒нпSоэ├ЎлY╢бдзецйЎбAлYж]пк▓гд└░tдзецйЎбAеBе╗о╫дздgжa╝Wн╚╡|д╬╣Lдс╢Oе╬е╤й╙╢RдHнt╛сбC,RPRNMLOLKHMFFBQ09CA
ем│U┬э,дgжa,│└╝dмq391~420жa╕╣,707.8,,д@пы╣A╖~░╧,дЇзQе╬жa,1060101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,200000,283,,0.0,0,1.и№╢┼┼v╢┼░╚╝v┼Tй╬╢┼░╚йш└vдзецйЎбC2.└v┴┘ифеLн╔╢Uд╬йшйун╔╢U,RPTNMLOLKHMFFBQ66CA
ж╡дlел,дgжa,оrлсмqлnоrдpмq451~480жa╕╣,33.53,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,46000,1372,,0.0,0,,RPQNMLLJLHMFFBQ58CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlел▓╗йMдT╕Їжшмq181~210╕╣,10.09,жэ,,,1060101,дgжa1л╪кл1иожь0,е|╝h,дн╝h,оMй╨(1й╨1╞U1╜├),жэоaе╬,┐√╡м▓V╛одg│y,0920821,22.779999999999998,1,1,1,ж│,ж│,420000,18437,,0.0,0,,RPSNMLLJLHMFFBQ78CA
╖╦дf╢m,дgжa,╖╦кFмq61~90жa╕╣,161.39,жэ,,,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4300000,26644,,0.0,0,┴`╗∙зtе╝лOжs╡n░Oл╪кл,RPQNMLNLKHMFFCQ56EA
ж╦▒T╢m,дgжa,╜vнэ╝dмq61~90жa╕╣,146.0,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1800000,12329,,0.0,0,зtе╝╡n░Oл╪клбC,RPPNMLSKKHMFFEQ07EA
е┴╢п╢m,дgжa,╡╫оHмq╡╫░ёдpмq121~150жa╕╣,5073.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1051201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,4600000,907,,0.0,0,,RPXNMLLJLHMFFCQ86DA
е┴╢п╢m,дgжa,дн╜\д¤мq61~90жa╕╣,322.0,жэ,,,1060101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,7200000,22360,,0.0,0,,RPVNMLKLKHMFFCQ56CA
дjкL┬э,й╨жa(дgжa+л╪кл),╣┼╕q┐ддjкL┬эенкLи╜е┴▒┌╕Ї189л╤1~30╕╣,88.23,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041113,193.53,3,2,3,ж│,╡L,8000000,41337,,0.0,0,,RPQNMLRKKHMFFCQ66CA
╕qж╦╢m,дgжa,ид▒a│Ємq▒a│Єдpмq301~330жa╕╣,2492.0,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,1600000,642,,0.0,0,,RPSNMLNLKHMFFBQ09CA
д╗╕}╢m,дgжa,─мнэ╝dмq─мнэдpмq61~90жa╕╣,2349.0,,пSйw╣A╖~░╧,дB║╪л╪┐vе╬жa,1051201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,14300000,6088,,0.0,0,,RPTNMLNLKHMFFBQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢mдх╢йз°10╛F└nе└?31~60╕╣,854.74,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,д@╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√░й┐√╡м▓V╛одg│y,0970117,265.6,3,2,2,ж│,╡L,14000000,52711,,0.0,0,,RPOOMLLJLHMFFCQ58CA
╖s┤ф╢m,дgжa,дддuмq61~90жa╕╣,298.1,,дu╖~░╧,дB║╪л╪┐vе╬жa,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2600000,8722,,0.0,0,,RPRNMLTJLHMFFCQ96CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,90.96,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,203.87,4,2,3,ж│,╡L,8000000,39241,,0.0,0,,RPQNMLNKLHMFFCQ98CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,91.2,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,203.9,4,2,5,ж│,╡L,8000000,39235,,0.0,0,,RPRNMLNKLHMFFCQ09CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,96.62,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,190.67,4,2,5,ж│,╡L,7530000,39492,,0.0,0,дг░╩▓гдзж@ж│дH╝╞м░в▒дH,RPSNMLNKLHMFFCQ56CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,102.42,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,208.07,4,2,5,ж│,╡L,7670000,36863,,0.0,0,,RPTNMLNKLHMFFCQ66CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,94.46,жэ,,,1051201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,190.67,4,2,5,ж│,╡L,7500000,39335,,0.0,0,,RPUNMLNKLHMFFCQ76CA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m░ёид61~90╕╣,133.38,жэ,,,1051201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1050817,177.82,4,2,5,ж│,╡L,7900000,44427,,0.0,0,,RPVNMLNKLHMFFCQ86CA
│└пє╢m,дgжa,│└пємq1321~1350жa╕╣,333.0,,пSйw╣A╖~░╧,е╥║╪л╪┐vе╬жa,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,500000,1502,,0.0,0,┐╦д═бBн√дuй╬ифеLпSоэ├ЎлY╢бдзецйЎбC,RPWNMLSKKHMFFDQ47CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,115.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,173.52,5,2,5,ж│,╡L,6300000,36307,,0.0,0,,RPPOMLLLKHMFFDQ88CA
дjоH╢m,дgжa,оHлnмq241~270жa╕╣,133.74,жэ,,,1060101,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,550000,4112,,0.0,0,,RPPOMLNLKHMFFDQ09CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m╝eдhз°▒Tдl└Y1~30╕╣,103.16,,╢mз°░╧,дA║╪л╪┐vе╬жa,1060201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0690126,127.6,4,3,3,ж│,╡L,4050000,31740,,0.0,0,,RPQOMLNLKHMFFDQ56CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢m╝eдhз°▒Tдl└Y1~30╕╣,88.69,,д@пы╣A╖~░╧,╣Aкке╬жa,1060101,дgжa1л╪кл1иожь0,д@╝hбAдG╝hбA├M╝╙,дG╝h,╣Aк┘,╣Aк┘,е[▒j┐j│y,0690701,142.6,2,1,2,ж│,╡L,3300000,,,0.0,0,,RPRNMLOLKHMFFDQ66CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел│┬╝dи╜е_┤ф╕ЇдGмq403л╤241~270╕╣,84.93,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,е|╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,0820109,167.49,4,3,4,ж│,╡L,4200000,25076,,0.0,0,,RPWNMLOKLHMFFDQ17CA
▒Ўдs╢m,дgжa,мьдlкLмq1~30жa╕╣,13.0,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,27000,2077,,0.0,0,ифеLпSоэ├ЎлY╢бдзецйЎбC╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбCж│е┴▒бн╖лUж]п└дзецйЎбC,RPPNMLNLKHMFFEQ09CA
▒Ўдs╢m,дgжa,мьдlкLмq1~30жa╕╣,62.0,,дsйYжaлOи|░╧,д■║╪л╪┐vе╬жa,1051201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,126000,2032,,0.0,0,ифеLпSоэ├ЎлY╢бдзецйЎбC╖ю╣sжaй╬ж│жXи╓и╧е╬дзецйЎбCж│е┴▒бн╖лUж]п└дзецйЎбC,RPQNMLNLKHMFFEQ56CA
ж╦▒T╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╦▒T╢mк@енз°7╛F│╗оH91~120╕╣,70.04,,д@пы╣A╖~░╧,д■║╪л╪┐vе╬жa,1051201,дgжa1л╪кл1иожь0,е■,дG╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одgе[▒j┐j│y,0680715,90.76,3,2,2,ж│,╡L,1450000,15976,,0.0,0,,RPRNMLNJLHMFFEQ56CA
▒Ўдs╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐д▒Ўдs╢mжш║a╡є17л╤1~30╕╣,112.5,жэ,,,1060201,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,0850720,181.4,4,2,3,ж│,╡L,3100000,17089,,0.0,0,╗∙кўзtд║│б│беў│]│╞,RPTNMLKLKHMFFEQ56CA
ж╡дlел,й╨жa(дgжa+л╪кл),╣┼╕q┐дж╡дlелдs│q╕Ї1~30╕╣,17.28,жэ,,,1051201,дgжa2л╪кл1иожь0,дT╝h,дQдG╝h,жэжvдj╝╙(11╝hзtеHдWж│╣q▒ш),жэоaе╬,┐√╡м▓V╛одg│y,0830910,85.33,3,2,2,ж│,ж│,2600000,30470,,0.0,0,,RPQNMLLLKHMFFBQ78DA
╖s┤ф╢m,дgжa,е├║╓мq661~690жa╕╣,331.0,жэ,,,1060101,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,3803800,11492,,0.0,0,,RPQNMLLLKHMFFCQ88DA
е┴╢п╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐де┴╢п╢m║╓╝╓з°38╛Fе·й·дG╡є241~270╕╣,80.0,жэ,,,1060101,дgжa1л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэ░╙е╬,┐√╡м▓V╛одg│y,0820304,151.51,4,2,3,ж│,╡L,3700000,24421,,0.0,0,,RPUNMLOLKHMFFCQ96DA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOеле_┤ф╕ЇдGмq429л╤200з╦1~30╕╣,105.94,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041016,167.25,4,2,3,ж│,╡L,5700000,34081,,0.0,0,,RPSNMLMLKHMFFDQ66DA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOеле_┤ф╕ЇдGмq429л╤200з╦1~30╕╣,104.94,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1041016,167.25,4,2,3,ж│,╡L,5700000,34081,,0.0,0,,RPUNMLMLKHMFFDQ86DA
ддоH╢m,дgжa,е█ОЎмq31~60жa╕╣,1479.0,,дsйYжaлOи|░╧,╣Aкке╬жa,1051201,дgжa2л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,350000,237,,0.0,0,лц╢Rлц╜цбC,RPVNMLNLKHMFFDQ07DA
╖╦дf╢m,дgжa,мhдl╖╛мqмhд@дpмq211~240жa╕╣,2010.7,,пSйw╣A╖~░╧,╣Aкке╬жa,1060201,дgжa1л╪кл0иожь0,,,ифеL,,,,0.0,0,0,0,ж│,╡L,2563600,1275,,0.0,0,,RPTNMLPKLHMFFCQ86CA
дЇдW╢m,й╨жa(дgжa+л╪кл),╣┼╕q┐ддЇдW╢mй▒┐│╡є95л╤1~30╕╣,105.7,жэ,,,1060101,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,жэоaе╬,┐√╡м▓V╛одg│y,1050802,181.53,4,3,3,ж│,╡L,6680000,36798,,0.0,0,,RPQNMLQJLHMFFDQ66CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,115.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,171.1,5,2,5,ж│,╡L,6000000,35067,,0.0,0,,RPQOMLLLKHMFFDQ98CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,114.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,173.52,5,2,4,ж│,╡L,5800000,33426,,0.0,0,,RPROMLLLKHMFFDQ09CA
д╙лOел,й╨жa(дgжa+л╪кл),╣┼╕q┐дд╙лOел╣L╖╛и╜│┬д╙╕Ї137л╤1~30╕╣,114.64,жэ,,,1060201,дgжa2л╪кл1иожь0,е■,дT╝h,│zд╤нэ,игифеL╡n░Oи╞╢╡,┐√╡м▓V╛одg│y,1051117,170.69,5,2,5,ж│,╡L,6080000,35620,,0.0,0,,RPSOMLLLKHMFFDQ56CA
